"","READS","SITE","LAT","LONG","DEPTH","sample_id"
"14-v-18-1-001",1801807,"Edisto",32.350062,-79.049937,51,"14-v-18-1-001"
"14-v-18-1-002",1505518,"Edisto",32.350178,-79.049885,52,"14-v-18-1-002"
"14-v-18-1-004",3161451,"Edisto",32.35173,-79.047718,52,"14-v-18-1-004"
"14-v-18-1-006",2563020,"Edisto",32.352222,-79.047569,51,"14-v-18-1-006"
"14-v-18-2-002",1287002,"Edisto",32.388584,-79.040882,48,"14-v-18-2-002"
"14-v-18-2-003",4099176,"Edisto",32.388632,-79.040819,48,"14-v-18-2-003"
"14-v-18-2-004",3746394,"Edisto",32.3888,-79.040695,47.5,"14-v-18-2-004"
"14-v-18-2-005",3283983,"Edisto",32.388912,-79.040621,47.5,"14-v-18-2-005"
"14-v-18-2-006",2910040,"Edisto",32.388942,-79.04053,47.5,"14-v-18-2-006"
"14-v-18-2-007",3995254,"Edisto",32.389045,-79.040465,47.5,"14-v-18-2-007"
"14-v-18-3-001",3309011,"Edisto",32.3557,-79.030183,63,"14-v-18-3-001"
"14-v-18-3-002",5570318,"Edisto",32.355784,-79.030156,65,"14-v-18-3-002"
"14-v-18-3-003",3410670,"Edisto",32.355863,-79.03007,64.5,"14-v-18-3-003"
"14-v-18-3-004",2814798,"Edisto",32.35595,-79.029963,64,"14-v-18-3-004"
"14-v-18-3-005",4104981,"Edisto",32.356033,-79.029867,65,"14-v-18-3-005"
"14-v-18-3-007",1659883,"Edisto",32.35606,-79.02968,61,"14-v-18-3-007"
"14-v-18-3-008",1619536,"Edisto",32.356061,-79.029616,61,"14-v-18-3-008"
"SH10088",2395916,"AAR",29.2502,-88.3384,72,"SH10088"
"SH10090",4911161,"AAR",29.25028,-88.33849,71,"SH10090"
"SH10091",1765331,"AAR",29.25028,-88.33849,71,"SH10091"
"SH10093",1976175,"AAR",29.25041,-88.33837,72,"SH10093"
"SH10095",1893613,"AAR",29.25495,-88.3395,73,"SH10095"
"SH10096",3927608,"AAR",29.25392,-88.33905,79,"SH10096"
"SH10097",5303972,"AAR",29.253,-88.339,77,"SH10097"
"SH10099",4125025,"AAR",29.25349,-88.3389,77,"SH10099"
"SH10100",4465924,"AAR",29.25302,-88.33923,75,"SH10100"
"SH10104",1993558,"AAR",29.25288,-88.33845,78,"SH10104"
"SH10105",4831064,"AAR",29.25289,-88.33844,78,"SH10105"
"SH10106",3180381,"AAR",29.25289,-88.33841,78,"SH10106"
"SH10107",5716346,"AAR",29.25286,-88.33845,78,"SH10107"
"SH10110",5037130,"AAR",29.25213,-88.33774,75,"SH10110"
"SH10111",4860729,"AAR",29.25211,-88.33772,75,"SH10111"
"SH10112",4834765,"AAR",29.25211,-88.33772,75,"SH10112"
"SH10116",5408084,"AAR",29.25207,-88.33771,76,"SH10116"
"SH10117",1168113,"AAR",29.25058,-88.33769,76,"SH10117"
"SH10118",1553598,"AAR",29.25198,-88.3377,76,"SH10118"
"SH10123",972601,"AAR",29.25194,-88.33781,75,"SH10123"
"SH10128",728670,"AAR",29.25,-88.3393,72,"SH10128"
"SH10177",582558,"RTR",29.43965,-87.57628,68,"SH10177"
"SH10178",5427848,"RTR",29.43965,-87.57628,68,"SH10178"
"SH10184",4123792,"RTR",29.43995,-87.57586,68,"SH10184"
"SH10185",3517836,"RTR",29.43996,-87.57583,68,"SH10185"
"SH10186",4251542,"RTR",29.43994,-87.57586,68,"SH10186"
"SH10188",3555435,"RTR",29.44001,-87.57585,68,"SH10188"
"SH10192",10370739,"RTR",29.44007,-87.57581,68,"SH10192"
"SH10193",6530469,"RTR",29.44008,-87.57582,68,"SH10193"
"SH10194",4284948,"RTR",29.44017,-87.57566,68,"SH10194"
"SH10196",5743610,"RTR",29.4401,-87.5755,68,"SH10196"
"SH10197",3423589,"RTR",29.4397,-87.5754,67,"SH10197"
"SH10198",3100931,"RTR",29.43971,-87.57538,67,"SH10198"
"SH10204",7028421,"RTR",29.43872,-87.57544,66,"SH10204"
"SH10205",5931474,"RTR",29.43872,-87.57544,66,"SH10205"
"SH10206",4547194,"RTR",29.43871,-87.57542,65,"SH10206"
"SH10207",2146443,"RTR",29.43871,-87.57542,65,"SH10207"
"SH10208",4616519,"RTR",29.43861,-87.57546,65,"SH10208"
"SH10209",3377341,"RTR",29.43859,-87.57547,65,"SH10209"
"SH10210",2186898,"RTR",29.4386,-87.57547,65,"SH10210"
"SH10211",4705116,"RTR",29.43859,-87.57548,65,"SH10211"
"SH10212",3179859,"RTR",29.43859,-87.57548,65,"SH10212"
"SH10213",3415124,"RTR",29.43859,-87.57548,65,"SH10213"
"SH10214",3241818,"RTR",29.43857,-87.57548,65,"SH10214"
"SH10215",3018400,"RTR",29.43859,-87.57548,65,"SH10215"
"SH10216",3469005,"RTR",29.43891,-87.57552,65,"SH10216"
"SH10217",3375209,"RTR",29.4386,-87.57552,64,"SH10217"
"SH10218",2206621,"RTR",29.4386,-87.57552,64,"SH10218"
"SH10219",3232792,"RTR",29.4386,-87.57557,65,"SH10219"
"SH10220",3802022,"RTR",29.43855,-87.57559,65,"SH10220"
"SH10497",3065642,"Alderdice",28.07495,-91.98419,80,"SH10497"
"SH10498",3318463,"Alderdice",28.07495,-91.98419,80,"SH10498"
"SH10499",3870777,"Alderdice",28.07493,-91.98418,80,"SH10499"
"SH10500",2900790,"Alderdice",28.07487,-91.98423,81,"SH10500"
"SH10501",2292574,"Alderdice",28.07487,-91.98423,81,"SH10501"
"SH10502",1717937,"Alderdice",28.07493,-91.98427,60,"SH10502"
"SH10503",2408433,"Alderdice",28.07493,-91.98422,60,"SH10503"
"SH10504",1774562,"Alderdice",28.07494,-91.98423,60,"SH10504"
"SH10505",3504957,"Alderdice",28.07457,-91.98466,60,"SH10505"
"SH10506",3003156,"Alderdice",28.07494,-91.98425,80,"SH10506"
"SH10507",2612822,"Alderdice",28.07494,-91.98427,80,"SH10507"
"SH10508",1976704,"Alderdice",28.07494,-91.98426,80,"SH10508"
"SH10509",4004657,"Alderdice",28.07499,-91.98427,80,"SH10509"
"SH10510",4929083,"Alderdice",28.07499,-91.98427,80,"SH10510"
"SH10511",6438165,"Alderdice",28.07496,-91.98426,79,"SH10511"
"SH10512",3234511,"Alderdice",28.07496,-91.98426,79,"SH10512"
"SH10513",4076648,"Alderdice",28.07497,-91.98423,79,"SH10513"
"SH10514",2432816,"Alderdice",28.07496,-91.98424,79,"SH10514"
"SH10515",4401974,"Alderdice",28.07497,-91.98421,80,"SH10515"
"SH10516",3432992,"Alderdice",28.07863,-91.98238,80,"SH10516"
"SH10517",2946586,"Alderdice",28.07887,-91.9823,80,"SH10517"
"SH10518",3894070,"Alderdice",28.07887,-91.9823,80,"SH10518"
"SH10519",1677490,"Alderdice",28.07887,-91.9823,80,"SH10519"
"SH10520",5166315,"Alderdice",28.07884,-91.98235,80,"SH10520"
"SH10521",5324941,"Alderdice",28.07864,-91.98226,81,"SH10521"
"SH10522",4703625,"Alderdice",28.07864,-91.98226,81,"SH10522"
"SH10523",3667956,"Alderdice",28.07859,-91.98254,80,"SH10523"
"SH10524",3361110,"Alderdice",28.07859,-91.98254,80,"SH10524"
"SH10525",2153198,"Alderdice",28.07872,-91.98255,80,"SH10525"
"SH10526",2128423,"Alderdice",28.07873,-91.98233,80,"SH10526"
"SH10527",4803378,"Alderdice",28.07873,-91.98233,80,"SH10527"
"SH10531",7134737,"Geyer",27.84937,-93.0579,97,"SH10531"
"SH10533",4816653,"Geyer",27.84938,-93.0579,97,"SH10533"
"SH10534",2160674,"Geyer",27.84937,-93.05792,96,"SH10534"
"SH10535",2299272,"Geyer",27.84933,-93.05788,95,"SH10535"
"SH10536",3027190,"Geyer",27.84928,-93.05783,95,"SH10536"
"SH10537",5790320,"Geyer",27.84928,-93.05783,95,"SH10537"
"SH10538",5274481,"Geyer",27.84928,-93.05783,95,"SH10538"
"SH10539",4326982,"Geyer",27.84928,-93.05783,95,"SH10539"
"SH10541",3150973,"Geyer",27.84928,-93.05787,95,"SH10541"
"SH10542",3829994,"Geyer",27.84928,-93.05787,95,"SH10542"
"SH10543",4008291,"Geyer",27.84928,-93.05787,95,"SH10543"
"SH10544",4827965,"Geyer",27.84923,-93.05789,96,"SH10544"
"SH10545",5706046,"Geyer",27.84923,-93.05789,96,"SH10545"
"SH10546",5211257,"Geyer",27.84923,-93.05787,95,"SH10546"
"SH10547",5421385,"Geyer",27.84923,-93.05787,95,"SH10547"
"SH10548",7093565,"Geyer",27.84925,-93.05787,95,"SH10548"
"SH10549",6004678,"Geyer",27.84925,-93.05787,95,"SH10549"
"SH10550",4191401,"Geyer",27.84925,-93.05787,95,"SH10550"
"SH10551",4983668,"Geyer",27.84925,-93.05788,95,"SH10551"
"SH10552",101376185,"Geyer",27.84925,-93.05788,95,"SH10552"
"SH10553",28729632,"Geyer",27.84925,-93.05788,95,"SH10553"
"SH10554",4554855,"Geyer",27.84925,-93.05788,96,"SH10554"
"SH10555",6022910,"Geyer",27.84925,-93.0579,96,"SH10555"
"SH10556",3892102,"Geyer",27.8491,-93.0579,96,"SH10556"
"SH10557",3546108,"Geyer",27.8491,-93.0579,96,"SH10557"
"SH10558",758557,"Geyer",27.8491,-93.0579,96,"SH10558"
"SH10559",486078,"Geyer",27.8491,-93.0579,96,"SH10559"
"SH10560",821059,"Geyer",27.8491,-93.0579,96,"SH10560"
"SH10563",664457,"Geyer",27.8492,-93.0579,95,"SH10563"
"SH10650",8107969,"EFGB",27.96803,-93.6128,73,"SH10650"
"SH10651",23683713,"EFGB",27.96803,-93.61274,73,"SH10651"
"SH10652",80059241,"EFGB",27.96803,-93.61282,73,"SH10652"
"SH10653",20937501,"EFGB",27.96797,-93.61281,73,"SH10653"
"SH10654",22771611,"EFGB",27.96797,-93.61281,73,"SH10654"
"SH10656",23514292,"EFGB",27.96797,-93.61281,73,"SH10656"
"SH10657",3283616,"EFGB",27.96797,-93.61281,73,"SH10657"
"SH10658",7102932,"EFGB",27.96797,-93.61281,73,"SH10658"
"SH10660",1887629,"EFGB",27.96797,-93.61281,73,"SH10660"
"SH10661",3384404,"EFGB",27.96823,-93.61297,74,"SH10661"
"SH10662",2013478,"EFGB",27.96823,-93.61297,74,"SH10662"
"SH10663",1720211,"EFGB",27.96823,-93.61297,74,"SH10663"
"SH10664",8320891,"EFGB",27.96823,-93.61297,74,"SH10664"
"SH10665",1541973,"EFGB",27.96823,-93.61297,74,"SH10665"
"SH10667",3585370,"EFGB",27.96823,-93.61297,74,"SH10667"
"SH10668",9186681,"EFGB",27.96823,-93.61297,74,"SH10668"
"SH10670",2115358,"EFGB",27.96823,-93.61297,74,"SH10670"
"SH10671",2640448,"EFGB",27.96849,-93.61324,76,"SH10671"
"SH10672",1266818,"EFGB",27.96849,-93.61324,76,"SH10672"
"SH10673",1288195,"EFGB",27.96849,-93.61324,76,"SH10673"
"SH10674",1261423,"EFGB",27.96849,-93.61324,76,"SH10674"
"SH10675",2484762,"EFGB",27.96849,-93.61324,76,"SH10675"
"SH10676",6365476,"EFGB",27.96849,-93.61324,76,"SH10676"
"SH10678",2520409,"EFGB",27.96849,-93.61324,76,"SH10678"
"SH10679",1890534,"EFGB",27.96849,-93.61324,76,"SH10679"
"SH10714",2428442,"WFGB",27.89881,-93.81386,79,"SH10714"
"SH10715",2420577,"WFGB",27.89879,-93.81383,79,"SH10715"
"SH10716",1282128,"WFGB",27.89879,-93.81385,79,"SH10716"
"SH10717",3093769,"WFGB",27.89862,-93.81385,77,"SH10717"
"SH10718",1777320,"WFGB",27.89853,-93.81389,76,"SH10718"
"SH10719",1534656,"WFGB",27.89841,-93.81427,73,"SH10719"
"SH10720",5100835,"WFGB",27.89841,-93.81427,73,"SH10720"
"SH10721",7037603,"WFGB",27.89838,-93.81428,73,"SH10721"
"SH10761",2895838,"Bouma",28.07161,-92.467368,80.1,"SH10761"
"SH10764",2415759,"Bouma",28.07165,-92.46734,80.1,"SH10764"
"SH10765",3744544,"Bouma",28.07166,-92.46733,80,"SH10765"
"SH10766",2541392,"Bouma",28.07169,-92.46733,80,"SH10766"
"SH10767",2928961,"Bouma",28.07171,-92.46734,79.9,"SH10767"
"SH10769",2123805,"Bouma",28.07172,-92.46737,79.7,"SH10769"
"SH10770",2937565,"Bouma",28.07171,-92.46736,79.6,"SH10770"
"SH10771",3661247,"Bouma",28.07173,-92.46737,79.5,"SH10771"
"SH10772",306601,"Bouma",28.07168,-92.46731,79.5,"SH10772"
"SH10774",673424,"Bouma",28.07168,-92.467398,79.5,"SH10774"
"SH10775",1641880,"Bouma",28.07168,-92.467403,79.2,"SH10775"
"SH10776",454678,"Bouma",28.07166,-92.46736,79.1,"SH10776"
"SH10777",1618081,"Bouma",28.07168,-92.46741,79.3,"SH10777"
"SH10778",2185186,"Bouma",28.0717,-92.46735,79.1,"SH10778"
"SH10780",2171562,"Bouma",28.07172,-92.46729,79.1,"SH10780"
"SH10781",1222159,"Bouma",28.07167,-92.46729,79.1,"SH10781"
"SH10783",949476,"Bouma",28.07158,-92.46735,79.3,"SH10783"
"SH10787",3505345,"Bouma",28.07155,-92.46733,78.7,"SH10787"
"SH10790",2964421,"Bouma",28.071533,-92.467356,78.5,"SH10790"
"SH10791",3405325,"Bouma",28.07154,-92.46737,78.3,"SH10791"
"SH10796",3070127,"Bouma",28.07153,-92.4673,79.1,"SH10796"
"SH10817",5242261,"Elvers",27.853537,-92.922893,98.4,"SH10817"
"SH10818",4411106,"Elvers",27.8535,-92.9229,98.2,"SH10818"
"SH10819",5075020,"Elvers",27.8535,-92.9229,97.9,"SH10819"
"SH10820",4682385,"Elvers",27.8535,-92.9229,98.3,"SH10820"
"SH10821",2007724,"Elvers",27.8535,-92.9229,98.1,"SH10821"
"SH10822",4380869,"Elvers",27.8535,-92.9229,97.9,"SH10822"
"SH10823",4709465,"Elvers",27.8535,-92.9229,98,"SH10823"
"SH10824",3589811,"Elvers",27.8535,-92.9229,98,"SH10824"
"SH10825",1440017,"Elvers",27.8535,-92.9229,98,"SH10825"
"SH10826",2097443,"Elvers",27.8535,-92.9229,98,"SH10826"
"SH10827",2392199,"Elvers",27.8536,-92.9229,98.6,"SH10827"
"SH10828",2910733,"Elvers",27.8536,-92.9229,98.6,"SH10828"
"SH10829",1774337,"Elvers",27.8536,-92.9228,97.2,"SH10829"
"SH10830",3837414,"Elvers",27.8536,-92.9228,97.2,"SH10830"
"SH10831",3815171,"Elvers",27.8535,-92.9228,96.6,"SH10831"
"SH10832",884085,"Elvers",27.8535,-92.9228,96.3,"SH10832"
"SH10833",2121048,"Elvers",27.8535,-92.9228,95.6,"SH10833"
"SH10834",5357318,"Elvers",27.8536,-92.9227,95.9,"SH10834"
"SH10835",3478855,"Elvers",27.8536,-92.9228,95.5,"SH10835"
"SH10836",2271869,"Elvers",27.8536,-92.9227,95.4,"SH10836"
"SH10837",2416224,"Elvers",27.85366,-92.92268,93.8,"SH10837"
"SH10838",4206652,"Elvers",27.85364,-92.9227,93.3,"SH10838"
"SH10839",5818091,"Elvers",27.85366,-92.9227,93.3,"SH10839"
"SH10840",2249807,"Elvers",27.85371,-92.92262,93.1,"SH10840"
"SH10841",5883308,"Elvers",27.85368,-92.92263,92.5,"SH10841"
"SH10842",626380,"Elvers",27.85374,-92.92263,92.5,"SH10842"
"SH10843",2779629,"Elvers",27.85373,-92.92264,92.5,"SH10843"
"SH10844",4538212,"Elvers",27.85376,-92.92263,93.2,"SH10844"
"SH10846",1628881,"Elvers",27.85384,-92.92256,92.2,"SH10846"
"SH10911",4612169,"Bright",27.89736,-93.32764,83.4,"SH10911"
"SH10912",3063744,"Bright",27.89737,-93.32762,83.3,"SH10912"
"SH10913",1087432,"Bright",27.89735,-93.32758,83.1,"SH10913"
"SH10914",5427837,"Bright",27.89733,-93.32762,83.1,"SH10914"
"SH10915",4058709,"Bright",27.89733,-93.32762,83.1,"SH10915"
"SH10916",6569066,"Bright",27.89741,-93.32763,83.1,"SH10916"
