"","EFGB","Elvers","McGrail","Bouma","Alderdice","Diaphus","FTR","AAR","RTR","Edisto"
"EFGB",70.556,66.796,67.021,66.257,66.462,66.5,65.954,66.347,66.468,65.871
"Elvers",66.601,67.493,67.575,67.163,66.778,67.19,66.582,66.327,66.858,66.018
"McGrail",66.492,67.224,67.499,66.907,67.084,67.184,66.671,66.522,66.963,66.084
"Bouma",66.321,67.451,67.511,66.924,67.135,67.242,66.58,66.565,66.844,66.12
"Alderdice",66.315,66.754,67.429,66.879,67.712,67.402,66.438,66.655,66.991,66.246
"Diaphus",66.106,66.978,67.324,66.757,67.14,67.393,66.818,66.744,67.205,66.074
"FTR",65.996,66.825,67.256,66.551,66.688,67.264,67.106,66.944,67.463,66.252
"AAR",66.393,66.55,67.107,66.526,66.9,67.189,66.961,67.497,67.353,66.117
"RTR",66.103,66.703,67.169,66.434,66.832,67.272,67.07,66.97,67.598,66.142
"Edisto",65.785,66.04,66.445,65.868,66.236,66.281,66.013,65.874,66.339,74.826
