#Cfactor 0.00804481
Recipient	SH10090	SH10096	SH10097	SH10099	SH10100	SH10104	SH10105	SH10106	SH10107	SH10110	SH10116	SH10118	SH10178	SH10184	SH10185	SH10186	SH10188	SH10192	SH10193	SH10194	SH10196	SH10197	SH10198	SH10204	SH10205	SH10206	SH10208	SH10209	SH10211	SH10212	SH10213	SH10214	SH10215	SH10216	SH10217	SH10218	SH10219	SH10220	SH10497	SH10499	SH10500	SH10502	SH10504	SH10509	SH10516	SH10517	SH10519	SH10520	SH10521	SH10523	SH10526	SH10650	SH10651	SH10652	SH10653	SH10654	SH10656	SH10657	SH10658	SH10661	SH10662	SH10664	SH10667	SH10668	SH10670	SH10671	SH10673	SH10675	SH10676	SH10678	SH10679	SH10761	SH10764	SH10766	SH10770	SH10771	SH10774	SH10775	SH10781	SH10783	SH10787	SH10790	SH10791	SH10796	SH10817	SH10821	SH10822	SH10824	SH10827	SH10828	SH10829	SH10832	SH10835	SH10836	SH10837	SH10838	SH10839	SH10840	SH10842	SH10843	SH10844	SH10846	SH11729	SH11730	SH11731	SH11732	SH11733	SH11736	SH11737	SH11738	SH11742	SH11747	SH11748	SH11749	SH11750	SH11752	SH11753	SH11754	SH11755	SH11756	SH11757	SH11758	SH11759	SH11761	SH11832	SH11841	SH11842	SH11843	SH11844	SH11846	SH11848	SH11875	SH11876	SH11877	SH11878	SH11879	SH11880	SH11881	SH11882	SH11883	SH12029	SH12030	SH12032	SH12033	SH12034	SH12036	SH12037	SH12038	SH12039	SH12040	SH12041	SH12042	SH12043	SH12044	SH12045	SH12046	SH12047	SH12049
SH10090	0	73.1856	72.4717	79.7591	74.902	70.9814	72.3694	76.0165	75.0741	73.9886	73.4789	71.1499	71.554	71.87	75.0734	71.8683	76.2919	71.219	72.4655	71.9267	73.2547	74.0469	74.2092	74.8726	75.752	72.6787	74.729	73.5659	73.6247	72.6438	72.8212	74.2621	75.257	71.9485	76.3441	74.1483	73.9922	71.8332	72.5906	73.1542	71.4146	71.7038	69.9671	74.6747	76.2643	74.9462	70.5598	74.0574	72.7785	74.8112	75.6216	73.4802	72.2916	72.7921	72.358	75.363	71.7842	75.0951	73.8706	74.7448	75.8608	73.3005	77.1113	74	72.108	72.9206	68.9392	72.6136	73.7173	74.6781	71.7391	72.2349	73.5993	74.0546	72.7545	72.5878	71.5004	71.8888	71.5094	73.1107	72.4838	74.1638	73.7691	73.9501	72.871	69.9691	73.2729	76.9947	73.761	72.9127	74.0605	72.8988	71.7196	73.3611	73.0176	73.607	71.9467	74.2719	71.0476	72.8741	72.4461	71.2058	70.8116	71.5351	76.6208	73.8805	75.4025	72.7755	71.8922	71.7246	75.9272	73.9289	72.1406	71.4116	75.1887	71.898	71.602	72.3855	71.8043	74.545	76.7751	75.2734	73.4477	73.6311	73.8435	77.5189	74.0364	72.8623	75.0355	70.7312	72.0525	71.6291	71.4166	74.1169	71.3767	73.3151	72.7038	74.7335	71.8911	74.0975	73.0286	75.0659	73.5828	75.3016	75.6784	74.6844	71.4962	71.5665	74.1594	71.3037	73.7683	71.9024	72.0289	70.1865	72.2328	72.3933	74.3035	74.5663
SH10096	71.15	0	73.7603	73.5485	74.8691	71.3638	74.7331	74.3179	74.4696	73.8709	72.0353	74.1315	72.3782	76.9214	76.3865	74.5422	74.4391	73.3333	74.9978	73.1003	75.2281	74.1899	74.5711	75.3537	72.9386	74.4563	73.8255	73.9295	74.2593	75.6199	73.4229	74.3956	73.1734	74.199	73.8445	71.0262	72.2713	71.6758	73.9568	74.9416	75.3301	72.7317	73.5955	72.4386	72.7978	73.5706	71.6802	72.7863	72.8247	73.9197	71.2743	72.0477	72.3208	73.6847	73.3338	74.1071	73.0677	70.9866	71.7324	73.0029	72.3841	71.9642	71.9632	71.5509	67.9044	72.8236	70.6247	72.5971	72.5859	70.8665	71.6471	74.3989	74.6125	75.5205	73.0201	73.1515	68.1407	72.6836	72.6078	69.1385	72.9025	77.316	73.542	74.1968	75.2397	71.7224	72.6389	74.7348	73.2107	73.7416	72.578	70.7165	74.5426	72.6486	74.0527	72.4606	72.5502	71.6983	67.0691	71.0711	76.8501	71.9081	71.7384	73.8884	71.099	73.1954	75.5471	72.2798	73.9671	73.9192	73.058	73.3006	72.4863	74.1378	72.5474	72.6199	75.8252	74.466	73.7999	71.7962	72.2483	75.0593	74.1104	73.9067	73.0938	73.7439	74.1839	74.0005	74.7252	71.2471	73.255	71.597	72.0412	77.8261	79.7058	71.7057	74.1337	74.028	73.4905	72.4196	76.7446	74.9158	73.6219	73.4253	75.9277	72.6815	73.0285	70.5279	74.9748	67.1956	74.7675	71.4362	73.6055	74.0233	73.9655	73.9464	75.9425	76.6378
SH10097	69.3569	72.9201	0	73.3574	73.8308	70.1697	73.1598	75.6643	76.5972	73.0735	75.0339	72.0069	73.0867	72.8664	73.4435	74.1028	73.1633	71.8012	74.6167	74.2616	74.9409	74.0521	74.2192	75.0267	73.2514	74.9844	76.1411	74.3473	72.3803	74.0774	73.3963	74.0254	74.0471	75.2469	74.2075	73.7802	75.3109	73.0223	74.0144	74.8907	72.2753	70.771	72.0316	73.2061	73.5622	73.853	72.1081	74.831	76.8372	72.4947	72.2944	73.2337	73.288	71.6308	73.2268	72.9282	71.9704	72.1062	72.7205	72.5527	69.9325	72.4058	73.5248	72.8208	69.8028	70.543	70.5167	72.4907	73.1427	71.6595	73.3327	74.1884	72.7442	73.6484	73.0164	75.1191	67.8309	74.2457	72.4808	69.8782	73.9431	72.4679	73.0236	73.9121	74.9577	72.4202	72.6554	72.8553	73.1606	75.213	71.9314	71.3546	73.0756	74.9807	74.0955	71.0949	75.1543	72.4177	68.3391	74.4741	73.929	73.4515	72.6627	74.9539	73.3065	74.8413	73.1657	74.836	73.3892	74.4693	72.1891	72.4867	73.7003	73.5075	73.6886	71.7181	72.8943	72.9155	71.3166	72.4454	73.3429	73.1726	73.891	72.2843	72.4641	77.3138	73.8212	72.3845	74.1958	75.096	73.3193	73.9939	73.8943	72.4439	72.6993	77.1877	75.1539	74.2692	74.4656	74.567	73.606	73.715	71.6994	75.6728	71.9392	72.6038	74.3081	69.9645	71.9717	71.1626	77.6051	69.1684	75.0369	72.0731	76.4072	75.6814	76.8004	74.1089
SH10099	76.3878	73.1753	73.7327	0	75.3224	71.4644	75.4548	75.5467	75.9016	74.0391	72.8545	71.8687	72.8485	73.801	74.5608	74.405	74.8363	75.7494	71.9957	73.3336	72.1022	73.1221	72.8069	72.9083	72.7632	73.6177	73.6113	74.3289	73.5969	74.067	74.5644	71.9328	72.0263	73.935	75.417	72.9544	70.2945	73.5576	74.4159	72.563	71.6131	70.6736	70.1106	72.1518	76.1297	72.6454	71.7341	74.8039	73.0302	73.0597	72.9793	74.0648	73.7673	74.5842	72.5576	73.457	72.4497	72.5983	73.8461	75.0743	76.2409	73.1959	71.55	74.7344	70.8248	71.5143	72.5566	69.8481	74.9321	71.444	70.1533	72.7502	71.76	75.4686	73.188	72.3813	69.4941	72.6441	71.3017	69.1922	74.0764	72.8509	73.5399	74.6349	72.6328	72.5387	73.182	74.3912	72.4188	73.5184	72.7661	70.2037	72.7996	72.4523	76.3341	74.5718	73.7843	74.5277	70.3924	75.3291	72.9609	73.2814	72.0687	71.9351	76.3312	73.034	73.436	74.3381	73.6673	73.5274	74.4345	73.0262	73.3761	74.6387	74.87	72.0794	76.108	76.8244	74.802	73.5999	73.3911	74.1395	75.5828	72.1834	73.8967	73.8884	72.6631	73.4092	72.1504	71.5308	73.5188	73.8294	74.4026	71.4058	74.8388	73.6755	72.7044	73.9585	75.3252	73.9944	73.4177	72.5609	73.4813	75.6076	74.6231	72.4256	73.3506	70.0079	72.5083	70.5154	74.5066	70.1307	71.961	73.267	73.7248	73.8653	76.1377	73.7661
SH10100	72.651	74.1269	74.3652	74.1449	0	77.5205	77.6853	72.4794	76.6292	75.5759	72.483	73.6317	72.8581	74.4844	74.1726	76.9424	75.8477	75.3684	72.1317	72.8174	73.2996	72.6486	73.5368	73.503	75.5582	73.332	73.3753	73.318	74.0623	75.4545	74.5359	73.1461	71.8713	72.5645	76.7148	72.7509	71.9325	71.5072	74.8244	73.7241	73.5263	76.8926	71.6583	72.7835	74.5275	74.9829	73.1245	75.3634	72.3027	75.7317	72.2945	72.9943	76.3551	73.4846	73.33	71.5899	76.7143	74.5328	71.4202	73.2852	69.6626	73.2784	73.9669	72.536	69.4976	70.5511	68.3745	69.0498	71.8927	69.2734	71.3482	73.6901	74.8053	74.9798	74.1175	73.4265	68.2493	70.4617	70.026	72.9427	74.4675	73.5355	72.9517	74.168	72.291	70.0988	71.4982	71.3913	73.0087	72.165	72.8114	71.4052	73.4374	72.1391	73.8957	71.245	71.7934	74.6382	69.4191	72.3835	75.4147	72.6702	71.9115	72.4163	71.736	73.8094	71.4877	73.5212	75.2518	77.3711	75.1504	74.4035	74.2531	73.6484	74.1429	72.0697	75.5497	75.4151	72.1639	76.5777	72.6868	74.2202	74.3904	76.2997	71.643	74.3521	73.1516	74.4001	72.9658	72.5129	74.4219	73.8636	72.5244	72.8911	73.6345	72.314	72.5114	71.6404	74.7651	71.8849	72.7619	74.4738	73.4982	75.9493	74.5916	75.1168	70.9979	68.22	74.8639	69.9533	73.8573	70.2567	73.4004	73.1029	75.3871	74.1121	74.2463	73.8284
SH10104	70.762	75.0146	73.5402	74.7287	82.4665	0	74.0894	74.7767	76.5947	73.1909	72.3545	77.373	75.2566	73.6819	74.8873	77.4621	71.8892	72.6319	72.6912	72.4408	73.9473	74.654	73.2874	72.9004	72.2443	73.5948	72.3956	72.0853	73.5456	76.5134	72.8636	74.2348	74.0339	74.3485	72.7191	73.5917	70.9185	69.9372	73.6757	71.9548	76.237	76.8126	72.1301	73.5486	77.015	72.5553	71.8966	71.3145	73.5172	73.0701	72.1199	72.7434	74.7239	97.6489	74.4256	73.8934	72.4453	73.5527	73.3833	72.8491	69.8099	75.6637	73.9124	73.8767	71.7212	70.6856	74.8029	71.8302	74.1954	70.6838	72.0011	72.2513	73.734	73.8578	73.3918	73.7029	70.0524	72.1443	71.9755	72.9053	72.325	73.7877	72.4622	72.561	72.8106	71.1048	73.6754	74.6514	72.4945	72.9782	73.4792	70.178	74.4372	71.9241	72.2505	72.0809	72.3829	73.985	68.7636	73.6799	74.2207	71.8167	71.6465	76.0541	74.2995	73.8072	72.7	72.3548	75.46	72.0627	72.4974	75.0647	72.7654	73.262	71.932	72.7324	72.0871	73.8956	73.0124	72.1008	72.8431	73.601	72.29	72.3645	72.1394	73.1007	72.185	72.6154	74.1587	73.65	73.0386	72.1884	72.4355	74.6769	74.2007	73.1296	72.9368	73.7796	73.482	73.0874	74.7296	72.4549	72.529	73.8174	71.5372	72.7119	72.6133	69.4353	73.2052	69.8984	71.8021	69.6034	73.8531	75.0069	72.227	72.1208	73.6483	72.7596
SH10105	69.4603	74.5824	73.0221	74.9464	78.1775	69.9114	0	73.0915	75.5501	72.4393	71.9745	74.1158	73.1217	73.7282	75.3937	75.3061	76.1869	74.4161	72.8016	72.938	73.4228	74.9282	74.7313	75.4381	77.4776	73.4093	71.8088	74.9379	72.6912	77.1771	74.1824	73.7827	73.0511	74.9873	73.7306	72.6414	71.2395	76.0968	76.0624	72.3492	72.4357	70.9219	71.9864	72.2567	72.5286	73.0098	73.457	74.9632	73.0619	73.2559	70.8622	73.0186	76.2921	73.3761	77.4448	72.3561	75.3403	73.013	73.7189	73.9694	73.7217	72.7983	72.1005	73.2191	70.7095	70.075	69.5123	70.9532	72.9823	71.4107	71.4215	72.3548	72.4661	75.0188	72.9426	74.0444	68.3517	70.8978	70.377	71.4092	73.8894	72.7162	73.8381	72.2135	71.9327	71.0539	73.1584	71.297	73.9387	72.2489	73.5348	71.8282	71.8576	73.7596	73.5588	73.9403	72.0896	73.7463	68.4462	72.5316	74.7844	73.5722	71.8361	74.0629	74.0285	75.2679	73.4812	75.1633	73.8088	72.8471	73.0217	73.0975	74.5089	73.4012	74.0937	73.9611	74.8059	73.3487	70.9648	73.6378	73.0045	75.2624	74.0808	75.5917	74.3053	73.3049	73.3716	72.2832	73.171	71.3697	74.7753	74.6877	73.1191	72.812	73.6695	72.4304	73.1265	71.8523	74.9509	73.8563	73.3115	75.2589	73.5127	77.457	75.1081	74.0471	73.8479	69.8396	74.5441	68.5358	72.9386	69.227	75.195	71.803	75.011	77.2887	73.4032	74.0277
SH10106	73.4214	74.7287	76.5705	76.0547	73.1046	71.7456	73.5302	0	75.5541	75.0702	71.6458	74.7484	73.3744	73.4134	72.6031	72.7152	73.5337	72.3515	75.1001	72.4069	74.7098	75.3018	74.597	71.1491	73.7725	73.7493	74.6519	75.7283	71.463	75.8756	74.5031	74.7156	74.15	72.8082	74.7759	72.4143	70.4523	71.7482	74.1228	73.414	73.4853	71.1543	72.6307	72.9433	74.1489	71.2425	73.2082	74.335	72.5076	71.3907	75.3396	72.5252	74.0715	72.4389	72.5507	73.7929	71.6649	71.5401	72.7715	74.9474	74.8795	73.5963	74.2732	72.9076	74.4851	73.3064	71.5881	72.9217	72.9189	73.6517	72.0919	72.3923	71.8163	74.3863	72.4872	72.9066	70.6039	72.6183	71.4479	71.2885	75.4995	72.4129	74.8596	72.673	73.4833	71.0779	73.7822	75.0138	73.6131	73.1395	75.093	72.685	73.3268	74.0658	74.6105	73.1991	72.5291	74.8386	67.662	74.3301	72.576	71.6641	72.0725	73.7287	75.5241	74.4978	74.0345	74.576	73.5169	73.491	73.5459	72.2316	73.2105	73.2713	74.1286	72.9867	75.1039	72.4109	69.3118	74.7282	74.1273	71.9367	75.718	73.5448	72.4702	74.2176	77.2164	74.9953	76.3578	72.7564	74.6658	73.9763	71.3563	74.2224	70.3635	71.9971	70.9809	74.1978	73.6361	71.5435	74.4041	73.4291	71.6169	72.914	75.2216	71.9098	73.4688	71.3102	74.8649	68.2563	76.7125	69.0467	74.0869	73.0677	73.3287	72.7243	74.754	73.0659
SH10107	71.4798	74.0451	76.6279	75.4315	76.1053	72.6441	75.0292	75.0179	0	74.2089	74.203	70.8677	72.5916	71.3807	72.086	75.1169	76.0363	72.9726	75.4897	73.8139	73.8863	76.555	75.1437	74.1365	74.5527	74.9357	76.2266	73.5726	74.3406	70.9328	72.5957	72.3321	72.7978	71.6138	74.4748	74.5521	68.2136	74.5875	75.1564	75.9888	72.9122	72.4142	71.156	73.4866	73.6626	73.5587	71.4477	77.06	72.6104	72.8343	72.5501	72.9486	73.9605	72.0559	73.0353	74.297	71.7979	70.6019	71.5438	70.2582	71.6547	73.1608	73.695	73.0132	69.6784	70.9292	71.1774	70.0541	73.3966	70.4324	71.8843	72.2975	72.2147	73.8226	74.9847	74.1554	71.2684	72.5339	71.4088	69.9334	73.0298	72.4489	73.7078	73.15	74.3029	71.9585	72.1861	72.0683	74.3122	73.3272	72.8171	71.5619	74.3451	74.2229	75.017	73.0249	72.3161	74.3313	67.9196	73.5848	73.971	74.3898	73.0547	72.8983	74.6234	75.4797	74.1911	71.7506	73.5308	73.0353	73.6144	73.6404	72.8646	74.2437	76.5127	72.9799	74.7517	73.1552	71.2242	73.7841	72.7404	73.5257	73.6862	72.6066	73.7486	73.8651	75.1216	72.1406	74.2668	76.4606	74.3918	74.5125	71.9573	75.1782	72.1757	74.1767	74.3015	73.2514	71.7898	73.2072	73.6509	75.1059	71.4591	76.9771	73.4239	74.2083	73.2889	70.44	72.8964	74.3614	74.1862	68.8823	74.2452	71.591	74.5794	74.3166	77.8886	74.4357
SH10110	70.7998	73.4791	73.0018	73.5271	74.9675	69.6879	72.6019	74.4752	74.1475	0	73.6175	72.4915	73.1084	73.8829	73.7452	73.0194	73.3673	72.7949	74.0207	73.2979	74.1942	72.8986	76.808	73.6205	72.2522	73.5443	73.3491	72.5723	74.9036	74.8178	72.9703	73.7462	75.3418	74.2908	74.1358	72.9004	74.8503	71.7752	73.9002	74.9642	74.6706	71.991	72.7606	74.523	73.2967	73.4682	71.231	73.3234	77.5893	72.8538	72.1076	74.8564	73.7575	72.7021	73.3469	74.954	73.5593	73.456	75.052	72.4085	71.6605	74.5315	73.3488	72.0209	69.7203	72.4504	68.5812	70.6551	72.6011	72.1213	72.7309	73.6479	71.0461	77.1	74.2283	73.3993	70.0956	70.7254	71.6089	69.0241	79.2711	73.7428	74.4301	73.7097	72.6112	70.3852	72.1716	75.8014	72.9167	73.3763	72.9055	73.1947	73.696	72.683	73.7754	71.8037	75.5499	75.1214	68.3099	73.0153	73.4151	74.1447	70.553	73.4689	74.0039	74.1546	74.277	72.6069	73.9887	73.1145	73.3898	74.1812	71.6051	75.0923	74.653	74.9275	71.8609	73.4765	72.3309	72.8629	72.7628	72.8656	73.9237	72.7592	72.272	74.1747	73.0654	70.8369	73.6974	72.3748	73.8712	73.428	77.4708	72.3727	71.6144	73.8067	74.139	73.1928	74.0169	73.2307	74.8962	75.2372	73.2243	74.8346	74.5235	72.5723	73.8107	68.4427	74.7147	67.8126	77.3199	72.0464	73.0529	74.2521	74.8241	77.268	73.3387	74.3004
