#Cfactor 0.00756506
Recipient	X14.v.18.1.001	X14.v.18.1.002	X14.v.18.1.004	X14.v.18.1.006	X14.v.18.2.003	X14.v.18.2.004	X14.v.18.2.005	X14.v.18.2.006	X14.v.18.2.007	X14.v.18.3.001	X14.v.18.3.002	X14.v.18.3.003	X14.v.18.3.004	X14.v.18.3.005	X14.v.18.3.007	X14.v.18.3.008	SH10090	SH10096	SH10097	SH10099	SH10100	SH10104	SH10105	SH10106	SH10107	SH10110	SH10116	SH10118	SH10178	SH10184	SH10185	SH10186	SH10188	SH10192	SH10193	SH10194	SH10196	SH10197	SH10198	SH10204	SH10205	SH10206	SH10208	SH10209	SH10211	SH10212	SH10213	SH10214	SH10215	SH10216	SH10217	SH10218	SH10219	SH10220	SH10497	SH10499	SH10500	SH10502	SH10504	SH10509	SH10516	SH10517	SH10519	SH10520	SH10521	SH10523	SH10526	SH10650	SH10651	SH10652	SH10653	SH10654	SH10656	SH10657	SH10658	SH10661	SH10662	SH10664	SH10667	SH10668	SH10670	SH10671	SH10673	SH10675	SH10676	SH10678	SH10679	SH10761	SH10764	SH10766	SH10770	SH10771	SH10774	SH10775	SH10781	SH10783	SH10787	SH10790	SH10791	SH10796	SH10817	SH10821	SH10822	SH10824	SH10827	SH10828	SH10829	SH10832	SH10835	SH10836	SH10837	SH10838	SH10839	SH10840	SH10842	SH10843	SH10844	SH10846	SH11729	SH11730	SH11731	SH11732	SH11733	SH11736	SH11737	SH11738	SH11742	SH11747	SH11748	SH11749	SH11750	SH11752	SH11753	SH11754	SH11755	SH11756	SH11757	SH11758	SH11759	SH11761	SH11832	SH11841	SH11842	SH11843	SH11844	SH11846	SH11848	SH11875	SH11876	SH11877	SH11878	SH11879	SH11880	SH11881	SH11882	SH11883	SH12029	SH12030	SH12032	SH12033	SH12034	SH12036	SH12037	SH12038	SH12039	SH12040	SH12041	SH12042	SH12043	SH12044	SH12045	SH12046	SH12047	SH12049
X14.v.18.1.001	0	68.6812	76.0892	71.6828	74.7393	76.573	71.3787	77.0026	70.9834	70.4465	68.1731	69.3486	75.9203	72.3085	74.7902	70.5437	66.3991	65.7078	66.868	67.0396	69.1799	63.4838	66.2504	67.8844	69.0809	67.2406	65.6182	66.3932	64.7023	66.7049	66.4697	69.3317	66.9648	65.9601	65.2696	66.8989	66.8831	65.9737	66.7603	66.0679	66.4135	65.3541	67.4222	66.6312	64.7063	66.8648	66.9944	68.6023	65.2094	67.6728	69.5624	67.4855	66.166	70.2547	66.1167	64.2816	66.7927	66.0154	65.5117	66.1009	68.4951	65.0804	67.7292	67.599	66.4268	69.4082	68.0478	66.7476	65.8299	65.838	65.2317	66.427	65.8149	67.2971	66.9646	66.12	64.6179	65.8539	68.3996	67.51	64.564	66.5584	63.0378	65.2667	68.1995	66.2867	66.0761	65.0352	68.2658	68.3119	67.0888	66.6247	63.1382	65.6568	65.6955	65.9949	67.0699	66.9939	67.0534	65.8888	66.2424	63.8633	66.286	66.2624	66.2665	66.4144	64.9817	65.0693	66.1926	66.1663	65.7754	66.0278	65.2249	66.6951	64.106	66.3181	67.2377	65.0934	66.0445	66.5555	66.7522	66.3957	66.6074	64.4582	67.5739	65.7344	66.5466	64.8527	65.5989	68.0685	65.5631	67.1324	65.9886	67.6674	64.6365	66.0283	68.1684	67.2851	66.5316	65.0334	66.1122	67.5354	67.1592	67.4136	66.7579	64.7198	67.4602	66.2498	64.5187	67.1512	65.17	66.2967	65.4881	66.7228	65.2573	67.1475	65.2923	66.2365	67.0146	67.2026	66.5104	65.2571	63.9235	62.4843	68.7529	64.099	66.7159	63.1585	65.713	65.6095	67.0336	66.5442	65.763	66.8837
X14.v.18.1.002	67.0334	0	68.2364	68.4048	92.3706	83.0242	77.1943	80.774	76.8686	73.6168	73.6909	75.5633	74.9412	70.9832	79.4202	69.5186	64.5075	65.4137	66.7849	66.6789	65.374	64.4403	67.0504	66.2927	68.4552	67.0879	66.6798	63.8795	67.0785	66.5286	66.4947	65.609	65.7207	65.7385	66.6844	67.3732	65.5776	65.1189	66.5037	66.6246	67.4576	67.4428	66.2192	67.2532	65.1055	65.0136	65.9585	67.619	65.2609	65.8695	66.6173	65.821	63.5409	65.2568	66.3903	67.0637	65.6861	64.3265	64.4136	63.8915	66.7079	66.3548	65.2685	65.1577	66.5557	66.8161	64.4226	69.1457	66.172	68.4457	65.5846	68.1377	65.7869	65.6478	66.2109	65.8227	63.0276	65.3009	65.8419	67.7179	63.4864	64.6968	63.0725	64.1962	65.0607	64.5675	65.2383	65.6585	65.9174	67.1499	65.1336	65.7115	63.5284	66.1353	65.3728	63.5806	67.2243	65.8744	68.2371	67.3406	66.5574	65.0009	67.056	67.0398	65.6903	67.0548	65.7818	64.4495	68.2465	66.4296	68.0385	64.3088	65.0981	66.9949	62.9808	67.5313	67.1268	66.4543	64.7995	66.0626	68.1769	65.2502	66.0591	65.273	66.1653	67.3119	67.0805	66.1953	65.6869	67.6342	66.2866	67.1928	66.5468	67.1668	65.2959	64.9275	68.2321	65.32	65.1762	67.0033	65.5387	67.4772	66.6462	66.1334	66.5651	67.5347	66.6991	65.5716	67.3408	66.7331	65.7566	66.5063	66.7292	66.5199	64.2582	66.5682	67.2975	67.4763	66.4284	67.1256	67.136	64.5327	64.532	62.6283	65.9385	62.9785	65.3479	62.8323	68.9398	66.8735	68.7635	66.7707	66.5346	66.7484
X14.v.18.1.004	75.6582	67.8035	0	74.7973	71.3484	72.9187	75.5417	77.4153	80.2509	69.6189	81.158	77.2326	81.2335	77.5522	73.3701	81.0393	62.4028	64.7013	65.8822	65.7373	69.1666	63.4957	67.2292	67.1106	67.9735	68.9747	65.6161	65.0117	64.8114	63.7027	65.3896	68.1342	65.9522	70.132	67.6067	64.9615	65.8453	67.2198	68.7771	65.6753	65.2057	65.4378	67.2838	65.5639	65.9838	65.9959	65.8869	65.881	74.0925	65.7427	65.702	66.741	62.7786	64.165	66.3322	65.6079	65.1851	64.6272	68.8082	65.3176	65.5791	65.6213	64.8273	66.6621	68.085	66.7226	63.2559	67.8324	66.3074	65.6394	65.7947	66.5968	66.9118	64.2154	66.5413	65.919	64.2828	65.1768	66.7131	67.5967	65.1987	65.1327	65.0479	63.3695	69.4211	65.3734	64.7768	65.3756	65.0646	67.9498	69.3707	69.2873	63.0055	65.3654	62.3915	62.7921	65.4252	67.2555	66.6471	66.8077	65.2086	64.2569	66.6471	67.5365	65.3441	64.6555	65.0965	64.9539	64.7171	66.4253	65.1377	65.5966	68.5242	67.0387	64.1005	66.5659	66.2422	66.1017	63.2326	66.3688	64.8213	66.0687	65.5551	66.0359	65.847	64.9176	65.1986	66.4994	66.5573	65.2277	68.001	68.6469	65.6019	67.2424	64.1963	68.5047	66.6978	66.4174	65.4823	65.8554	64.0486	65.7359	66.2451	65.6402	68.0596	65.1486	67.5418	70.9545	68.6977	64.1679	65.8088	64.0497	65.6744	65.002	64.7015	66.5983	66.9464	65.5175	69.7218	67.8271	65.3116	65.6382	69.9187	63.6873	66.7887	62.9246	68.1342	62.5726	67.4959	63.9456	65.204	65.1335	63.8026	67.105
X14.v.18.1.006	69.2338	67.727	74.5802	0	71.2814	70.1581	72.622	68.6583	70.0995	70.4679	69.4942	76.5435	70.0011	71.6991	71.281	76.9943	65.0513	66.3104	67.4602	65.9846	66.509	64.4833	66.1378	68.6507	67.3653	67.1804	65.6619	63.5564	65.3663	65.8627	65.507	68.186	66.9195	69.0154	65.6953	66.4789	66.7632	68.273	65.5955	66.3119	66.1183	67.3107	66.6591	66.0848	66.2365	66.5784	66.5286	68.2908	71.0645	66.0053	67.5893	65.4484	64.3122	64.3963	67.3329	69.7917	67.5092	64.6896	65.4472	66.8245	67.3935	66.7457	66.0976	66.6229	64.7412	67.052	66.1557	68.1261	67.23	66.2477	67.2748	67.6761	66.1185	68.3645	68.3248	65.8614	64.0427	64.3194	67.0137	66.5666	67.932	64.6197	62.2891	66.3633	65.8814	66.1453	64.6942	65.4303	65.9802	65.7079	70.1839	68.1694	61.6724	64.1306	64.3589	63.8858	65.6226	66.4451	65.9217	65.7557	66.069	64.2033	66.8404	66.3536	65.3084	66.1986	66.6887	64.8189	66.2607	66.0651	66.4222	66.4827	67.2392	66.5581	63.9115	67.0798	67.4903	66.3594	63.3564	66.3527	66.4075	67.2625	65.2855	66.3615	67.3647	67.0618	66.2221	68.2671	66.6749	67.8254	67.6715	66.9083	65.5961	67.4205	65.0785	66.9757	67.674	66.0854	68.216	68.15	65.3749	67.647	66.9814	65.7638	66.1544	65.4289	65.9403	70.7323	68.5072	66.8255	64.7385	66.5921	66.8586	68.1284	66.8881	67.5567	66.811	66.922	69.1286	68.5167	66.9913	65.4786	68.826	64.5658	67.2563	63.9198	67.5974	63.3196	66.0847	66.0804	65.9081	65.4323	67.9966	66.9289
X14.v.18.2.003	72.3112	89.5377	71.5738	71.0776	0	85.2122	91.3356	86.3	86.3365	77.1157	75.5694	77.4295	77.5255	72.7394	85.9911	73.5096	63.5839	65.62	67.502	65.2194	66.7961	62.298	65.8037	66.7285	66.328	65.4341	65.2579	63.2305	66.5122	64.8417	67.1311	66.332	65.8901	65.4355	64.76	67.1221	66.5235	66.8583	64.7586	65.4365	67.505	65.7656	65.2656	66.0608	64.7979	65.4565	64.8018	66.7853	65.0803	66.3395	64.8657	64.5845	65.8684	65.0459	64.0621	67.2236	65.6719	64.2176	64.8385	65.4435	66.3628	65.4683	65.3603	65.7957	66.8321	66.0184	65.6121	65.7055	66.8256	67.8649	65.1695	67.3911	65.5788	66.6771	66.8862	65.5893	63.3243	66.2765	67.7594	67.6799	63.1712	64.0245	62.575	63.6169	66.3565	63.1881	65.5104	65.5183	66.1115	65.8618	65.324	68.0192	61.8969	65.2122	63.4296	64.1711	67.6688	66.786	66.5784	65.8621	65.5565	63.6513	65.216	65.3488	65.2894	67.2291	66.079	62.9717	67.2742	66.2308	66.7943	64.153	66.1274	66.4535	62.7356	70.0353	67.9038	65.657	63.4145	66.1392	65.6311	65.1024	65.4589	65.3274	66.1512	65.3087	65.9708	66.8202	65.2377	65.1812	66.9594	65.9385	65.7831	66.7742	63.1724	65.4903	66.2998	65.487	65.5921	67.1057	64.401	66.5803	66.1323	65.342	66.1296	66.3017	65.9309	65.2416	66.8289	67.0766	64.4553	65.907	67.6655	68.1703	66.4686	66.532	66.468	67.4081	66.7137	67.9416	66.7036	65.3105	64.2514	61.7161	65.8619	62.2672	65.4444	60.5903	65.2436	65.8459	67.2759	65.6278	65.6266	66.7788
X14.v.18.2.004	74.4516	82.1498	72.4695	70.4921	85.6087	0	77.5936	80.7125	77.7059	76.5478	74.8823	72.8913	83.28	69.9232	72.3444	71.2676	63.202	66.6578	68.3237	65.2117	64.7446	62.828	67.0668	65.6108	65.9108	68.3815	65.2466	63.3976	65.8296	65.1741	67.0164	66.49	67.0599	66.0007	66.5381	67.8853	65.8073	66.6029	69.1427	67.7019	67.5929	65.6978	66.2989	67.0646	65.1142	66.3601	66.1455	66.8581	67.7781	66.7493	65.9595	65.6885	64.3116	64.9758	65.7869	67.8245	66.4436	64.5107	65.2041	66.1049	67.8163	66.1877	64.5999	65.7524	67.2499	66.1786	64.3866	67.8857	65.3571	67.6387	66.4978	67.6353	65.3662	65.6443	67.0995	66.4936	62.4746	65.9744	66.7512	65.7892	64.0188	63.9627	64.7916	63.6001	66.2919	63.3311	66.2925	66.0253	66.3447	67.1073	65.4662	66.1163	62.647	65.4962	63.0153	62.8914	66.4037	64.6561	65.8553	67.0685	64.3603	63.738	65.855	66.5185	65.6394	66.956	66.134	64.8631	66.5749	66.4809	66.3294	66.168	67.6129	65.9118	61.6122	67.3292	66.5695	65.5014	64.7235	68.442	65.7076	67.4528	67.2716	69.5337	65.3927	65.8426	66.6738	65.4351	64.9637	67.7038	66.9958	66.7323	66.1683	67.5541	64.7038	66.6696	65.3227	65.2166	65.8762	66.162	66.2786	66.997	65.2762	64.4926	66.2181	67.3856	66.6402	68.2155	68.1893	66.6974	64.7186	64.7335	68.4673	65.6315	65.6177	66.3968	65.0844	65.9686	66.0495	67.6325	66.3136	65.9593	64.3776	63.2974	65.867	61.5019	66.2955	63.7	67.916	66.4458	66.5194	68.8669	66.559	67.209
X14.v.18.2.005	68.85	76.4528	74.8863	72.7683	91.1069	77.5181	0	74.9337	76.2223	69.8477	76.6189	76.0896	71.8801	69.8239	84.4656	71.5992	63.2899	66.1222	65.901	65.5371	66.1065	62.6988	65.6983	67.7609	65.8631	68.8674	65.9346	64.959	64.4287	65.9898	66.7802	67.4374	66.9909	66.6697	67.3516	66.5225	66.1614	66.9833	67.4941	64.0665	66.0326	66.6618	65.7206	66.987	65.4961	65.1439	65.1703	65.3917	65.4764	66.0861	65.8755	64.4903	62.7228	65.6212	65.3418	65.9041	66.1692	64.5532	66.9849	65.4936	67.5672	66.6253	65.5638	67.6366	68.3914	67.8967	64.8508	69.0694	65.6882	66.6785	66.5361	65.9552	67.1684	65.7205	67.8434	65.6786	62.4748	65.2213	67.9468	66.5861	62.8259	65.7309	63.2171	63.8448	66.6767	65.3988	64.6949	64.9425	65.7085	70.3953	66.3632	66.3731	62.0851	64.011	62.6621	64.3732	66.3573	68.9446	65.7257	68.0024	64.9768	63.3425	68.2128	66.5166	65.6737	64.9271	67.6076	65.7152	66.1326	66.902	65.9443	65.9213	69.0681	66.809	60.3819	66.797	67.9419	64.4628	63.1144	65.3218	64.8975	65.3006	65.2198	67.381	65.8996	66.9347	66.576	65.3127	65.3326	66.4739	66.9709	66.6798	67.8831	66.8566	64.1323	65.7643	67.111	66.5545	67.2355	67.124	64.7616	65.8112	67.8989	67.2511	66.6855	67.8464	65.2064	68.8779	68.5121	67.5194	65.2788	66.804	68.4242	67.5038	65.6103	67.3278	65.0565	69.0818	66.1644	65.9046	67.294	65.5003	64.8754	63.3188	66.064	61.8325	68.4452	64.5971	65.6186	66.8625	65.576	67.6732	66.7215	66.2513
X14.v.18.2.006	74.7942	80.1164	77.0853	69.1541	86.1328	80.3546	74.5914	0	75.5483	71.1709	82.3043	71.0928	82.2565	73.2608	73.5806	73.2907	63.0399	64.4105	67.1726	66.3448	68.1117	62.3922	68.1689	66.8671	68.1662	68.4225	64.9626	64.7949	65.9031	65.2982	65.8733	66.486	67.0569	66.2499	65.3539	67.3173	67.0503	68.1824	68.4542	65.082	65.312	66.6178	66.5293	67.8174	64.3993	65.3015	65.6693	66.2675	67.8613	66.1599	64.7172	67.1344	64.4556	64.6184	66.3038	66.8762	66.2106	64.9584	65.3839	67.8306	66.103	65.3476	64.8194	67.6222	66.5976	64.4833	65.6687	67.357	66.1711	65.6182	66.5432	65.9157	65.106	65.3397	66.6572	67.4266	63.1439	65.0719	66.3519	65.0332	64.1766	63.8639	62.5832	65.6961	66.5873	64.9869	66.0182	64.4527	64.9074	69.8697	67.0388	65.7444	62.2905	64.2734	63.4948	64.8667	65.6188	65.1626	68.8086	65.3509	64.6027	63.274	66.9959	66.7825	66.2847	66.5416	64.5611	64.9486	67.1317	65.7288	66.9231	65.4155	67.2909	64.9685	61.6228	66.8369	67.2074	66.3526	63.4372	67.2833	66.7467	66.3104	65.9299	65.6721	67.8082	65.2777	67.6127	64.8826	65.7379	66.2181	66.6536	66.4547	66.4255	65.3175	65.8276	66.0464	66.7693	66.9212	67.7967	66.3648	65.6165	67.7667	64.594	64.7528	67.8099	65.5809	67.4671	68.1526	66.7969	66.6799	66.0818	65.2134	66.1212	66.0771	65.7096	67.0147	65.9335	66.4775	66.3976	68.0008	65.5942	64.457	66.238	62.858	67.0185	62.0438	67.3329	64.1105	68.0809	65.1116	65.8833	67.4889	67.2707	67.8152
X14.v.18.2.007	68.6206	76.2826	79.9412	69.2754	86.2889	77.581	76.4856	75.7257	0	73.9694	81.5281	77.2188	78.9899	71.8295	72.0094	69.7978	63.0217	65.1234	66.4082	65.6158	65.5635	63.1802	66.7873	65.694	68.2885	69.9766	66.4847	63.2229	67.1658	64.8092	65.8129	64.9543	65.5174	65.5947	67.1804	67.1551	65.2491	67.5286	67.858	66.3121	66.678	64.9877	66.0319	66.9315	66.9653	66.1251	64.41	66.7433	66.7227	66.1193	65.7803	64.6333	62.7472	64.2156	64.8327	66.4135	66.682	65.5823	67.157	66.4866	65.4819	67.1531	66.3414	67.3572	67.0496	65.5719	66.422	68.9801	66.764	65.6511	66.2442	66.4295	64.5936	65.3232	67.0639	66.2186	62.764	67.0606	66.6904	66.9102	63.3518	65.4986	62.0487	65.2501	67.0622	63.9322	63.7567	65.9052	66.5139	68.0976	67.1616	66.9964	62.3834	66.0125	64.7038	64.2064	66.1201	66.7815	66.6337	68.0238	65.8715	64.7926	65.3654	66.1259	65.641	67.2215	66.1181	65.1788	67.0827	66.9439	66.5167	66.5347	67.6944	65.6225	61.5445	65.9525	66.4024	65.7269	63.7572	66.4371	65.8957	66.3674	66.3125	66.5767	66.0077	65.4834	66.6955	66.5542	65.9656	66.2812	67.4979	67.3456	65.8552	68.5644	64.4498	66.7489	65.8922	66.7319	65.5951	67.2242	64.1918	69.5099	65.5894	64.5955	67.8836	64.7771	66.9845	67.2865	68.3065	66.8139	64.9686	67.0138	66.5692	65.418	66.4647	68.3951	65.7402	66.9699	68.6528	67.2085	66.2723	63.7494	66.4573	61.3982	66.3535	63.4831	67.275	63.1456	66.219	66.0506	66.7568	67.5038	66.6342	66.9816
X14.v.18.3.001	68.4588	71.9885	69.778	71.0119	77.941	76.2339	70.4425	71.6865	74.4193	0	71.6204	74.4636	73.1648	71.9851	71.2863	70.4605	63.8774	63.5871	68.2736	65.5073	66.4048	63.5725	65.4705	66.9377	66.8345	65.9102	67.2047	63.1684	67.7357	66.1919	68.196	66.3561	65.1553	68.0507	68.393	66.2844	67.1213	67.0442	66.625	66.4117	67.2065	67.277	68.6297	67.8709	66.3437	65.7573	66.6529	66.9785	65.4491	67.175	68.2033	64.6447	63.9279	67.0688	64.9336	68.8466	65.6307	64.4615	65.4993	66.3484	68.1931	64.9271	65.4138	67.6502	67.8592	67.8649	65.2407	67.2454	66.8744	66.7094	65.7491	66.989	66.0056	65.1703	66.4155	64.9185	62.6814	65.2061	67.9087	66.4774	62.3242	64.5359	63.1624	63.9008	67.2613	64.46	65.4775	65.6634	65.6928	67.7014	67.8401	66.5466	62.3282	66.5693	64.3809	66.0249	66.4941	65.735	67.2435	66.7527	66.6261	65.7034	66.6636	67.7049	67.5027	67.2581	68.425	63.9832	66.8309	67.1336	67.3799	66.8743	66.6717	66.6115	61.3573	68.3042	67.1364	65.656	62.6661	67.0523	68.4308	66.7114	65.9071	66.7572	65.2337	66.9181	66.9654	66.4305	65.4392	67.9886	68.0495	68.0926	66.7808	68.0655	65.8194	67.6831	66.4956	65.6527	66.251	68.7076	66.0588	67.236	67.1201	64.2231	67.0442	66.1193	66.4611	67.1991	66.6198	67.2122	66.1376	66.7969	68.2837	65.9326	68.0339	68.0786	66.7342	67.746	67.8258	66.9329	66.718	66.7872	64.6632	63.2322	66.8691	61.9667	66.3941	62.9663	67.7699	67.3238	66.9583	66.5419	68.5629	68.7743
